arena,target,decision_reason,sentences
NYT,training,NO_AI_CONTEXT_CUE,1312
NYT,understanding,ELIGIBLE_AI_CONTEXT,233
NYT,understanding,NO_AI_CONTEXT_CUE,893
WSJ,agent,ELIGIBLE_AI_CONTEXT,48
WSJ,agent,EXPLICIT_NON_AI_SENSE,12
WSJ,agent,NO_AI_CONTEXT_CUE,155
WSJ,algorithm,ELIGIBLE_AI_CONTEXT,184
WSJ,algorithm,NO_AI_CONTEXT_CUE,593
WSJ,alignment,ELIGIBLE_AI_CONTEXT,13
WSJ,alignment,NO_AI_CONTEXT_CUE,18
WSJ,autonomy,ELIGIBLE_AI_CONTEXT,44
WSJ,autonomy,NO_AI_CONTEXT_CUE,115
WSJ,bias,ELIGIBLE_AI_CONTEXT,96
WSJ,bias,NO_AI_CONTEXT_CUE,161
WSJ,capability,ELIGIBLE_AI_CONTEXT,54
WSJ,capability,NO_AI_CONTEXT_CUE,124
WSJ,control,ELIGIBLE_AI_CONTEXT,256
WSJ,control,EXPLICIT_NON_AI_SENSE,12
WSJ,control,NO_AI_CONTEXT_CUE,1239
WSJ,creativity,ELIGIBLE_AI_CONTEXT,47
WSJ,creativity,NO_AI_CONTEXT_CUE,116
WSJ,decision,ELIGIBLE_AI_CONTEXT,174
WSJ,decision,NO_AI_CONTEXT_CUE,776
WSJ,fairness,ELIGIBLE_AI_CONTEXT,16
WSJ,fairness,NO_AI_CONTEXT_CUE,42
WSJ,generation,ELIGIBLE_AI_CONTEXT,273
WSJ,generation,NO_AI_CONTEXT_CUE,701
WSJ,intelligence,ELIGIBLE_AI_CONTEXT,6537
WSJ,intelligence,EXPLICIT_NON_AI_SENSE,213
WSJ,intelligence,NO_AI_CONTEXT_CUE,2209
WSJ,learning,ELIGIBLE_AI_CONTEXT,1747
WSJ,learning,EXPLICIT_NON_AI_SENSE,3
WSJ,learning,NO_AI_CONTEXT_CUE,927
WSJ,model,ELIGIBLE_AI_CONTEXT,654
WSJ,model,EXPLICIT_NON_AI_SENSE,3
WSJ,model,NO_AI_CONTEXT_CUE,1253
WSJ,network,ELIGIBLE_AI_CONTEXT,235
WSJ,network,EXPLICIT_NON_AI_SENSE,21
WSJ,network,NO_AI_CONTEXT_CUE,990
WSJ,prediction,ELIGIBLE_AI_CONTEXT,30
WSJ,prediction,NO_AI_CONTEXT_CUE,110
WSJ,reasoning,ELIGIBLE_AI_CONTEXT,65
WSJ,reasoning,NO_AI_CONTEXT_CUE,107
WSJ,representation,ELIGIBLE_AI_CONTEXT,7
WSJ,representation,NO_AI_CONTEXT_CUE,33
WSJ,risk,ELIGIBLE_AI_CONTEXT,318
WSJ,risk,NO_AI_CONTEXT_CUE,1373
WSJ,safety,ELIGIBLE_AI_CONTEXT,284
WSJ,safety,NO_AI_CONTEXT_CUE,718
WSJ,system,ELIGIBLE_AI_CONTEXT,764
WSJ,system,NO_AI_CONTEXT_CUE,2625
WSJ,training,ELIGIBLE_AI_CONTEXT,449
WSJ,training,EXPLICIT_NON_AI_SENSE,7
WSJ,training,NO_AI_CONTEXT_CUE,589
WSJ,understanding,ELIGIBLE_AI_CONTEXT,136
WSJ,understanding,NO_AI_CONTEXT_CUE,327
arxiv,agent,ELIGIBLE_AI_CONTEXT,2240
arxiv,agent,EXPLICIT_NON_AI_SENSE,4
arxiv,agent,NO_AI_CONTEXT_CUE,24128
arxiv,algorithm,ELIGIBLE_AI_CONTEXT,3353
arxiv,algorithm,NO_AI_CONTEXT_CUE,48598
arxiv,alignment,ELIGIBLE_AI_CONTEXT,295
arxiv,alignment,EXPLICIT_NON_AI_SENSE,3
arxiv,alignment,NO_AI_CONTEXT_CUE,2048
arxiv,autonomy,ELIGIBLE_AI_CONTEXT,103
arxiv,autonomy,NO_AI_CONTEXT_CUE,374
arxiv,bias,ELIGIBLE_AI_CONTEXT,703
arxiv,bias,NO_AI_CONTEXT_CUE,4305
arxiv,capability,ELIGIBLE_AI_CONTEXT,339
arxiv,capability,NO_AI_CONTEXT_CUE,1646
arxiv,control,ELIGIBLE_AI_CONTEXT,1583
arxiv,control,EXPLICIT_NON_AI_SENSE,34
arxiv,control,NO_AI_CONTEXT_CUE,9621
arxiv,creativity,ELIGIBLE_AI_CONTEXT,208
arxiv,creativity,NO_AI_CONTEXT_CUE,333
arxiv,decision,ELIGIBLE_AI_CONTEXT,2052
arxiv,decision,NO_AI_CONTEXT_CUE,15226
arxiv,fairness,ELIGIBLE_AI_CONTEXT,485
arxiv,fairness,NO_AI_CONTEXT_CUE,1934
arxiv,generation,ELIGIBLE_AI_CONTEXT,1261
arxiv,generation,NO_AI_CONTEXT_CUE,7084
arxiv,intelligence,ELIGIBLE_AI_CONTEXT,3936
arxiv,intelligence,EXPLICIT_NON_AI_SENSE,197
arxiv,intelligence,NO_AI_CONTEXT_CUE,3038
arxiv,learning,ELIGIBLE_AI_CONTEXT,20874
arxiv,learning,EXPLICIT_NON_AI_SENSE,91
arxiv,learning,NO_AI_CONTEXT_CUE,35758
arxiv,model,ELIGIBLE_AI_CONTEXT,11613
arxiv,model,EXPLICIT_NON_AI_SENSE,1
arxiv,model,NO_AI_CONTEXT_CUE,80144
arxiv,network,ELIGIBLE_AI_CONTEXT,9774
arxiv,network,EXPLICIT_NON_AI_SENSE,135
arxiv,network,NO_AI_CONTEXT_CUE,25466
arxiv,prediction,ELIGIBLE_AI_CONTEXT,1628
arxiv,prediction,NO_AI_CONTEXT_CUE,11359
arxiv,reasoning,ELIGIBLE_AI_CONTEXT,1161
arxiv,reasoning,NO_AI_CONTEXT_CUE,7519
arxiv,representation,ELIGIBLE_AI_CONTEXT,1373
arxiv,representation,NO_AI_CONTEXT_CUE,13841
arxiv,risk,ELIGIBLE_AI_CONTEXT,520
arxiv,risk,NO_AI_CONTEXT_CUE,4093
arxiv,safety,ELIGIBLE_AI_CONTEXT,424
arxiv,safety,NO_AI_CONTEXT_CUE,1788
arxiv,system,ELIGIBLE_AI_CONTEXT,4468
arxiv,system,NO_AI_CONTEXT_CUE,32270
arxiv,training,ELIGIBLE_AI_CONTEXT,5810
arxiv,training,EXPLICIT_NON_AI_SENSE,14
arxiv,training,NO_AI_CONTEXT_CUE,29446
arxiv,understanding,ELIGIBLE_AI_CONTEXT,958
arxiv,understanding,NO_AI_CONTEXT_CUE,4011
