word,is_target,arena,extracted_sentences,eligible_sentences,seed,sampled_sentences,minimum_required,threshold_met,profile_status,missing_reason,model_used
antitrust,False,NYT,1179,500,11,500,100,True,OK,,482
any,False,NYT,7181,500,11,500,100,True,OK,,489
anywhere,False,NYT,343,343,11,343,100,True,OK,,340
appearances,False,NYT,120,120,11,120,100,True,OK,,120
applicants,False,NYT,233,233,11,233,100,True,OK,,221
applying,False,NYT,287,287,11,287,100,True,OK,,286
approaches,False,NYT,319,319,11,319,100,True,OK,,318
apps,False,NYT,2720,500,11,500,100,True,OK,,477
arabia,False,NYT,460,460,11,460,100,True,OK,,449
area,False,NYT,1562,500,11,500,100,True,OK,,495
argentina,False,NYT,103,103,11,103,100,True,OK,,102
arms,False,NYT,721,500,11,500,100,True,OK,,494
around,False,NYT,6602,500,11,500,100,True,OK,,495
arsenal,False,NYT,135,135,11,135,100,True,OK,,135
article,False,NYT,2021,500,11,500,100,True,OK,,467
aside,False,NYT,346,346,11,346,100,True,OK,,345
ask,False,NYT,1576,500,11,500,100,True,OK,,494
asking,False,NYT,1095,500,11,500,100,True,OK,,495
asks,False,NYT,346,346,11,346,100,True,OK,,344
assess,False,NYT,285,285,11,285,100,True,OK,,285
assignments,False,NYT,118,118,11,118,100,True,OK,,118
assistance,False,NYT,322,322,11,322,100,True,OK,,316
assistant,False,NYT,1800,500,11,500,100,True,OK,,490
associated,False,NYT,1141,500,11,500,100,True,OK,,474
assumed,False,NYT,165,165,11,165,100,True,OK,,165
assuming,False,NYT,105,105,11,105,100,True,OK,,105
attention,False,NYT,1604,500,11,500,100,True,OK,,493
attitudes,False,NYT,120,120,11,120,100,True,OK,,120
attracted,False,NYT,415,415,11,415,100,True,OK,,413
attractive,False,NYT,227,227,11,227,100,True,OK,,224
augmented,False,NYT,303,303,11,303,100,True,OK,,298
austin,False,NYT,358,358,11,358,100,True,OK,,353
author,False,NYT,1175,500,11,500,100,True,OK,,487
auto,False,NYT,458,458,11,458,100,True,OK,,452
automate,False,NYT,347,347,11,347,100,True,OK,,347
autonomous,False,NYT,1685,500,11,500,100,True,OK,,492
autor,False,NYT,102,102,11,102,100,True,OK,,102
away,False,NYT,2889,500,11,500,100,True,OK,,497
baked,False,NYT,92,92,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
ban,False,NYT,714,500,11,500,100,True,OK,,494
banned,False,NYT,451,451,11,451,100,True,OK,,448
bar,False,NYT,736,500,11,500,100,True,OK,,490
barely,False,NYT,333,333,11,333,100,True,OK,,328
barrett,False,NYT,97,97,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
barriers,False,NYT,233,233,11,233,100,True,OK,,232
basic,False,NYT,1178,500,11,500,100,True,OK,,490
bay,False,NYT,440,440,11,440,100,True,OK,,434
bear,False,NYT,337,337,11,337,100,True,OK,,322
beatles,False,NYT,101,101,11,101,100,True,OK,,87
beginning,False,NYT,1089,500,11,500,100,True,OK,,496
behalf,False,NYT,309,309,11,309,100,True,OK,,309
behavior,False,NYT,1522,500,11,500,100,True,OK,,494
behind,False,NYT,2658,500,11,500,100,True,OK,,496
beijing,False,NYT,2409,500,11,500,100,True,OK,,489
belief,False,NYT,350,350,11,350,100,True,OK,,349
believe,False,NYT,2385,500,11,500,100,True,OK,,491
belong,False,NYT,128,128,11,128,100,True,OK,,127
benefits,False,NYT,1129,500,11,500,100,True,OK,,491
bent,False,NYT,94,94,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
beta,False,NYT,101,101,11,101,100,True,OK,,99
beyond,False,NYT,1748,500,11,500,100,True,OK,,495
biases,False,NYT,318,318,11,318,100,True,OK,,305
big,False,NYT,6450,500,11,500,100,True,OK,,485
biggest,False,NYT,2252,500,11,500,100,True,OK,,498
billionaire,False,NYT,474,474,11,474,100,True,OK,,467
biological,False,NYT,349,349,11,349,100,True,OK,,345
bit,False,NYT,1156,500,11,500,100,True,OK,,483
black,False,NYT,1958,500,11,500,100,True,OK,,456
blade,False,NYT,127,127,11,127,100,True,OK,,124
blockchain,False,NYT,151,151,11,151,100,True,OK,,146
board,False,NYT,2812,500,11,500,100,True,OK,,477
boards,False,NYT,307,307,11,307,100,True,OK,,303
boat,False,NYT,132,132,11,132,100,True,OK,,124
bodies,False,NYT,326,326,11,326,100,True,OK,,319
body,False,NYT,1157,500,11,500,100,True,OK,,490
borrow,False,NYT,99,99,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
boss,False,NYT,323,323,11,323,100,True,OK,,315
bought,False,NYT,1146,500,11,500,100,True,OK,,492
breaking,False,NYT,458,458,11,458,100,True,OK,,452
breakthrough,False,NYT,324,324,11,324,100,True,OK,,321
bright,False,NYT,332,332,11,332,100,True,OK,,327
bring,False,NYT,1600,500,11,500,100,True,OK,,499
brings,False,NYT,382,382,11,382,100,True,OK,,379
broadcasting,False,NYT,92,92,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
broadly,False,NYT,384,384,11,384,100,True,OK,,384
broken,False,NYT,369,369,11,369,100,True,OK,,369
brother,False,NYT,348,348,11,348,100,True,OK,,340
brought,False,NYT,1169,500,11,500,100,True,OK,,498
brown,False,NYT,594,500,11,500,100,True,OK,,485
browsers,False,NYT,134,134,11,134,100,True,OK,,134
brutal,False,NYT,109,109,11,109,100,True,OK,,107
brynjolfsson,False,NYT,102,102,11,102,100,True,OK,,100
built,False,NYT,2628,500,11,500,100,True,OK,,494
bullying,False,NYT,96,96,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
bureaucracy,False,NYT,119,119,11,119,100,True,OK,,119
businesses,False,NYT,2780,500,11,500,100,True,OK,,492
buyers,False,NYT,310,310,11,310,100,True,OK,,308
buzzfeed,False,NYT,132,132,11,132,100,True,OK,,124
cabinet,False,NYT,135,135,11,135,100,True,OK,,132
cables,False,NYT,101,101,11,101,100,True,OK,,99
calculations,False,NYT,249,249,11,249,100,True,OK,,245
calendar,False,NYT,292,292,11,292,100,True,OK,,285
call,False,NYT,2906,500,11,500,100,True,OK,,491
calls,False,NYT,1877,500,11,500,100,True,OK,,494
came,False,NYT,2664,500,11,500,100,True,OK,,499
cameras,False,NYT,1207,500,11,500,100,True,OK,,488
candidate,False,NYT,643,500,11,500,100,True,OK,,493
cap,False,NYT,159,159,11,159,100,True,OK,,158
capitalist,False,NYT,327,327,11,327,100,True,OK,,327
captured,False,NYT,346,346,11,346,100,True,OK,,344
capturing,False,NYT,117,117,11,117,100,True,OK,,117
cards,False,NYT,394,394,11,394,100,True,OK,,372
careful,False,NYT,290,290,11,290,100,True,OK,,287
caregivers,False,NYT,92,92,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
cargo,False,NYT,95,95,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
carnegie,False,NYT,382,382,11,382,100,True,OK,,378
carries,False,NYT,99,99,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
cars,False,NYT,3085,500,11,500,100,True,OK,,476
cases,False,NYT,1584,500,11,500,100,True,OK,,493
causing,False,NYT,321,321,11,321,100,True,OK,,321
censor,False,NYT,98,98,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
censorship,False,NYT,332,332,11,332,100,True,OK,,331
certain,False,NYT,1944,500,11,500,100,True,OK,,497
certainly,False,NYT,749,500,11,500,100,True,OK,,494
ces,False,NYT,132,132,11,132,100,True,OK,,130
chairs,False,NYT,126,126,11,126,100,True,OK,,123
challenges,False,NYT,1560,500,11,500,100,True,OK,,496
charitable,False,NYT,95,95,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
charts,False,NYT,117,117,11,117,100,True,OK,,116
chase,False,NYT,298,298,11,298,100,True,OK,,293
chasing,False,NYT,112,112,11,112,100,True,OK,,112
checks,False,NYT,273,273,11,273,100,True,OK,,273
chess,False,NYT,325,325,11,325,100,True,OK,,299
choices,False,NYT,445,445,11,445,100,True,OK,,440
choose,False,NYT,727,500,11,500,100,True,OK,,484
choosing,False,NYT,213,213,11,213,100,True,OK,,208
chose,False,NYT,322,322,11,322,100,True,OK,,315
claim,False,NYT,646,500,11,500,100,True,OK,,493
class,False,NYT,1174,500,11,500,100,True,OK,,491
classes,False,NYT,435,435,11,435,100,True,OK,,429
clear,False,NYT,2386,500,11,500,100,True,OK,,499
clearly,False,NYT,654,500,11,500,100,True,OK,,496
click,False,NYT,362,362,11,362,100,True,OK,,343
clips,False,NYT,298,298,11,298,100,True,OK,,282
close,False,NYT,1794,500,11,500,100,True,OK,,495
co-workers,False,NYT,101,101,11,101,100,True,OK,,101
cohen,False,NYT,264,264,11,264,100,True,OK,,254
coherent,False,NYT,102,102,11,102,100,True,OK,,102
cold,False,NYT,682,500,11,500,100,True,OK,,491
collaborating,False,NYT,103,103,11,103,100,True,OK,,103
colleges,False,NYT,288,288,11,288,100,True,OK,,274
column,False,NYT,324,324,11,324,100,True,OK,,318
combat,False,NYT,470,470,11,470,100,True,OK,,465
combine,False,NYT,222,222,11,222,100,True,OK,,218
comes,False,NYT,2095,500,11,500,100,True,OK,,496
comfortable,False,NYT,312,312,11,312,100,True,OK,,312
coming,False,NYT,2329,500,11,500,100,True,OK,,495
commands,False,NYT,278,278,11,278,100,True,OK,,272
commercial,False,NYT,1164,500,11,500,100,True,OK,,498
common,False,NYT,1406,500,11,500,100,True,OK,,493
commonplace,False,NYT,102,102,11,102,100,True,OK,,102
communication,False,NYT,635,500,11,500,100,True,OK,,492
competing,False,NYT,490,490,11,490,100,True,OK,,488
competition,False,NYT,1743,500,11,500,100,True,OK,,495
complaint,False,NYT,314,314,11,314,100,True,OK,,312
complete,False,NYT,1093,500,11,500,100,True,OK,,496
complexity,False,NYT,245,245,11,245,100,True,OK,,245
complicated,False,NYT,666,500,11,500,100,True,OK,,500
composition,False,NYT,100,100,11,100,100,True,OK,,99
computational,False,NYT,291,291,11,291,100,True,OK,,288
computers,False,NYT,2330,500,11,500,100,True,OK,,487
concept,False,NYT,650,500,11,500,100,True,OK,,496
concern,False,NYT,1108,500,11,500,100,True,OK,,495
concerns,False,NYT,2452,500,11,500,100,True,OK,,495
concessions,False,NYT,99,99,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
concluded,False,NYT,493,493,11,493,100,True,OK,,491
conclusions,False,NYT,120,120,11,120,100,True,OK,,120
conduct,False,NYT,453,453,11,453,100,True,OK,,451
conference,False,NYT,2182,500,11,500,100,True,OK,,496
confident,False,NYT,338,338,11,338,100,True,OK,,336
connected,False,NYT,760,500,11,500,100,True,OK,,493
connects,False,NYT,132,132,11,132,100,True,OK,,129
consideration,False,NYT,116,116,11,116,100,True,OK,,116
considered,False,NYT,1078,500,11,500,100,True,OK,,498
constantly,False,NYT,447,447,11,447,100,True,OK,,445
constructed,False,NYT,102,102,11,102,100,True,OK,,102
consumption,False,NYT,228,228,11,228,100,True,OK,,225
contact,False,NYT,467,467,11,467,100,True,OK,,460
contain,False,NYT,313,313,11,313,100,True,OK,,312
contained,False,NYT,212,212,11,212,100,True,OK,,211
contract,False,NYT,1080,500,11,500,100,True,OK,,485
contrast,False,NYT,632,500,11,500,100,True,OK,,500
contributed,False,NYT,1583,500,11,500,100,True,OK,,493
contribution,False,NYT,124,124,11,124,100,True,OK,,122
conversations,False,NYT,1045,500,11,500,100,True,OK,,495
convicted,False,NYT,128,128,11,128,100,True,OK,,128
cooper,False,NYT,101,101,11,101,100,True,OK,,99
copyright,False,NYT,533,500,11,500,100,True,OK,,477
counter,False,NYT,443,443,11,443,100,True,OK,,443
cracking,False,NYT,115,115,11,115,100,True,OK,,115
crash,False,NYT,291,291,11,291,100,True,OK,,287
creating,False,NYT,1682,500,11,500,100,True,OK,,496
credibility,False,NYT,118,118,11,118,100,True,OK,,113
crime,False,NYT,477,477,11,477,100,True,OK,,463
criminal,False,NYT,449,449,11,449,100,True,OK,,446
critique,False,NYT,97,97,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
crowd,False,NYT,436,436,11,436,100,True,OK,,427
crowds,False,NYT,122,122,11,122,100,True,OK,,121
cruise,False,NYT,415,415,11,415,100,True,OK,,401
cryptocurrencies,False,NYT,111,111,11,111,100,True,OK,,111
ct,False,NYT,106,106,11,106,100,True,OK,,44
cure,False,NYT,104,104,11,104,100,True,OK,,98
curiosity,False,NYT,137,137,11,137,100,True,OK,,137
currency,False,NYT,281,281,11,281,100,True,OK,,270
da,False,NYT,90,90,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
danger,False,NYT,432,432,11,432,100,True,OK,,427
databases,False,NYT,302,302,11,302,100,True,OK,,300
daunting,False,NYT,128,128,11,128,100,True,OK,,126
davis,False,NYT,307,307,11,307,100,True,OK,,294
days,False,NYT,3156,500,11,500,100,True,OK,,494
dealing,False,NYT,307,307,11,307,100,True,OK,,303
dean,False,NYT,310,310,11,310,100,True,OK,,305
debut,False,NYT,336,336,11,336,100,True,OK,,334
decided,False,NYT,1162,500,11,500,100,True,OK,,499
declaration,False,NYT,104,104,11,104,100,True,OK,,102
dedicated,False,NYT,457,457,11,457,100,True,OK,,456
deeper,False,NYT,444,444,11,444,100,True,OK,,433
deepfakes,False,NYT,306,306,11,306,100,True,OK,,303
deepmind,False,NYT,696,500,11,500,100,True,OK,,496
defense,False,NYT,1891,500,11,500,100,True,OK,,480
del,False,NYT,108,108,11,108,100,True,OK,,99
deliberately,False,NYT,128,128,11,128,100,True,OK,,128
delivering,False,NYT,284,284,11,284,100,True,OK,,284
demonstrated,False,NYT,358,358,11,358,100,True,OK,,358
deny,False,NYT,114,114,11,114,100,True,OK,,114
departments,False,NYT,338,338,11,338,100,True,OK,,334
depend,False,NYT,326,326,11,326,100,True,OK,,324
depending,False,NYT,322,322,11,322,100,True,OK,,322
describes,False,NYT,349,349,11,349,100,True,OK,,347
design,False,NYT,1966,500,11,500,100,True,OK,,476
designed,False,NYT,1763,500,11,500,100,True,OK,,496
designers,False,NYT,400,400,11,400,100,True,OK,,392
designing,False,NYT,328,328,11,328,100,True,OK,,328
desire,False,NYT,373,373,11,373,100,True,OK,,368
detected,False,NYT,213,213,11,213,100,True,OK,,213
detectors,False,NYT,92,92,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
determine,False,NYT,699,500,11,500,100,True,OK,,497
developed,False,NYT,1749,500,11,500,100,True,OK,,499
developments,False,NYT,355,355,11,355,100,True,OK,,355
device,False,NYT,1471,500,11,500,100,True,OK,,492
diabetes,False,NYT,103,103,11,103,100,True,OK,,99
differences,False,NYT,300,300,11,300,100,True,OK,,297
difficult,False,NYT,1893,500,11,500,100,True,OK,,499
dining,False,NYT,118,118,11,118,100,True,OK,,117
diplomats,False,NYT,122,122,11,122,100,True,OK,,122
direction,False,NYT,672,500,11,500,100,True,OK,,492
directly,False,NYT,1078,500,11,500,100,True,OK,,500
discern,False,NYT,105,105,11,105,100,True,OK,,105
disciplines,False,NYT,93,93,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
disclose,False,NYT,371,371,11,371,100,True,OK,,367
disclosures,False,NYT,116,116,11,116,100,True,OK,,114
discover,False,NYT,275,275,11,275,100,True,OK,,275
discovering,False,NYT,113,113,11,113,100,True,OK,,113
disputed,False,NYT,128,128,11,128,100,True,OK,,128
distance,False,NYT,317,317,11,317,100,True,OK,,314
distinction,False,NYT,117,117,11,117,100,True,OK,,117
distinguish,False,NYT,217,217,11,217,100,True,OK,,216
dna,False,NYT,457,457,11,457,100,True,OK,,425
dog,False,NYT,463,463,11,463,100,True,OK,,423
doing,False,NYT,2865,500,11,500,100,True,OK,,488
dollars,False,NYT,1729,500,11,500,100,True,OK,,497
don,False,NYT,6378,500,11,500,100,True,OK,,487
door,False,NYT,696,500,11,500,100,True,OK,,487
doubt,False,NYT,426,426,11,426,100,True,OK,,424
drawing,False,NYT,815,500,11,500,100,True,OK,,308
drawn,False,NYT,458,458,11,458,100,True,OK,,457
drew,False,NYT,492,492,11,492,100,True,OK,,489
drive,False,NYT,1353,500,11,500,100,True,OK,,493
drives,False,NYT,224,224,11,224,100,True,OK,,219
due,False,NYT,337,337,11,337,100,True,OK,,335
earn,False,NYT,296,296,11,296,100,True,OK,,296
earned,False,NYT,354,354,11,354,100,True,OK,,353
ears,False,NYT,103,103,11,103,100,True,OK,,102
ease,False,NYT,309,309,11,309,100,True,OK,,307
easily,False,NYT,1001,500,11,500,100,True,OK,,498
economics,False,NYT,623,500,11,500,100,True,OK,,482
economies,False,NYT,370,370,11,370,100,True,OK,,367
editor,False,NYT,1079,500,11,500,100,True,OK,,489
educational,False,NYT,319,319,11,319,100,True,OK,,308
effect,False,NYT,1205,500,11,500,100,True,OK,,497
effective,False,NYT,1059,500,11,500,100,True,OK,,488
efforts,False,NYT,2816,500,11,500,100,True,OK,,495
electrical,False,NYT,317,317,11,317,100,True,OK,,309
elements,False,NYT,314,314,11,314,100,True,OK,,313
embarrassing,False,NYT,117,117,11,117,100,True,OK,,116
emerged,False,NYT,478,478,11,478,100,True,OK,,476
emergence,False,NYT,104,104,11,104,100,True,OK,,104
emeritus,False,NYT,94,94,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
emotions,False,NYT,288,288,11,288,100,True,OK,,283
employed,False,NYT,326,326,11,326,100,True,OK,,324
enacted,False,NYT,135,135,11,135,100,True,OK,,135
encounters,False,NYT,106,106,11,106,100,True,OK,,105
encourage,False,NYT,423,423,11,423,100,True,OK,,422
encouraging,False,NYT,364,364,11,364,100,True,OK,,363
end,False,NYT,3605,500,11,500,100,True,OK,,495
energy,False,NYT,2364,500,11,500,100,True,OK,,470
engagement,False,NYT,426,426,11,426,100,True,OK,,418
engineering,False,NYT,1185,500,11,500,100,True,OK,,492
engineers,False,NYT,1630,500,11,500,100,True,OK,,498
engines,False,NYT,481,481,11,481,100,True,OK,,480
enhance,False,NYT,239,239,11,239,100,True,OK,,239
enjoy,False,NYT,315,315,11,315,100,True,OK,,314
enough,False,NYT,3066,500,11,500,100,True,OK,,488
ensemble,False,NYT,101,101,11,101,100,True,OK,,101
entered,False,NYT,303,303,11,303,100,True,OK,,303
entering,False,NYT,320,320,11,320,100,True,OK,,320
entire,False,NYT,1174,500,11,500,100,True,OK,,497
entrepreneurship,False,NYT,110,110,11,110,100,True,OK,,108
era,False,NYT,1116,500,11,500,100,True,OK,,492
errors,False,NYT,371,371,11,371,100,True,OK,,366
essentially,False,NYT,688,500,11,500,100,True,OK,,496
evaluate,False,NYT,242,242,11,242,100,True,OK,,237
evaluated,False,NYT,98,98,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
evaluating,False,NYT,97,97,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
evaluation,False,NYT,97,97,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
events,False,NYT,1154,500,11,500,100,True,OK,,494
evidence,False,NYT,1212,500,11,500,100,True,OK,,495
evolution,False,NYT,326,326,11,326,100,True,OK,,321
excited,False,NYT,340,340,11,340,100,True,OK,,340
exciting,False,NYT,337,337,11,337,100,True,OK,,336
executives,False,NYT,3292,500,11,500,100,True,OK,,491
exercise,False,NYT,418,418,11,418,100,True,OK,,417
experiment,False,NYT,742,500,11,500,100,True,OK,,494
experimentation,False,NYT,127,127,11,127,100,True,OK,,127
experimenting,False,NYT,299,299,11,299,100,True,OK,,299
expert,False,NYT,772,500,11,500,100,True,OK,,496
explain,False,NYT,762,500,11,500,100,True,OK,,496
exploded,False,NYT,108,108,11,108,100,True,OK,,108
exponentially,False,NYT,92,92,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
exports,False,NYT,375,375,11,375,100,True,OK,,370
exposed,False,NYT,374,374,11,374,100,True,OK,,374
express,False,NYT,334,334,11,334,100,True,OK,,328
extend,False,NYT,283,283,11,283,100,True,OK,,277
extended,False,NYT,268,268,11,268,100,True,OK,,263
extensively,False,NYT,100,100,11,100,100,True,OK,,100
extent,False,NYT,315,315,11,315,100,True,OK,,309
extremely,False,NYT,413,413,11,413,100,True,OK,,401
fabric,False,NYT,104,104,11,104,100,True,OK,,99
faced,False,NYT,752,500,11,500,100,True,OK,,500
facility,False,NYT,351,351,11,351,100,True,OK,,350
factual,False,NYT,108,108,11,108,100,True,OK,,107
fame,False,NYT,131,131,11,131,100,True,OK,,128
farm,False,NYT,398,398,11,398,100,True,OK,,379
farmers,False,NYT,284,284,11,284,100,True,OK,,282
fashion,False,NYT,613,500,11,500,100,True,OK,,461
fast,False,NYT,1075,500,11,500,100,True,OK,,492
feature,False,NYT,1229,500,11,500,100,True,OK,,494
features,False,NYT,1711,500,11,500,100,True,OK,,495
fee,False,NYT,325,325,11,325,100,True,OK,,323
fever,False,NYT,100,100,11,100,100,True,OK,,96
fighters,False,NYT,131,131,11,131,100,True,OK,,130
figure,False,NYT,1238,500,11,500,100,True,OK,,498
files,False,NYT,281,281,11,281,100,True,OK,,269
findings,False,NYT,430,430,11,430,100,True,OK,,428
finds,False,NYT,297,297,11,297,100,True,OK,,295
finished,False,NYT,299,299,11,299,100,True,OK,,298
fire,False,NYT,1029,500,11,500,100,True,OK,,467
fits,False,NYT,100,100,11,100,100,True,OK,,100
fixed,False,NYT,232,232,11,232,100,True,OK,,229
flag,False,NYT,314,314,11,314,100,True,OK,,302
flat,False,NYT,235,235,11,235,100,True,OK,,231
flight,False,NYT,614,500,11,500,100,True,OK,,473
flooded,False,NYT,127,127,11,127,100,True,OK,,127
focused,False,NYT,1847,500,11,500,100,True,OK,,497
focuses,False,NYT,356,356,11,356,100,True,OK,,356
follows,False,NYT,330,330,11,330,100,True,OK,,330
foods,False,NYT,332,332,11,332,100,True,OK,,321
foot,False,NYT,315,315,11,315,100,True,OK,,305
forcing,False,NYT,310,310,11,310,100,True,OK,,310
forge,False,NYT,115,115,11,115,100,True,OK,,115
forged,False,NYT,96,96,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
form,False,NYT,1430,500,11,500,100,True,OK,,493
formally,False,NYT,197,197,11,197,100,True,OK,,197
formed,False,NYT,322,322,11,322,100,True,OK,,322
forming,False,NYT,109,109,11,109,100,True,OK,,108
fortune,False,NYT,293,293,11,293,100,True,OK,,291
founder,False,NYT,1939,500,11,500,100,True,OK,,488
founding,False,NYT,332,332,11,332,100,True,OK,,324
fox,False,NYT,324,324,11,324,100,True,OK,,312
fraction,False,NYT,226,226,11,226,100,True,OK,,221
fragile,False,NYT,134,134,11,134,100,True,OK,,134
franklin,False,NYT,115,115,11,115,100,True,OK,,112
fraudulent,False,NYT,101,101,11,101,100,True,OK,,101
freedom,False,NYT,450,450,11,450,100,True,OK,,421
friday,False,NYT,1881,500,11,500,100,True,OK,,494
front,False,NYT,1157,500,11,500,100,True,OK,,492
fueled,False,NYT,323,323,11,323,100,True,OK,,322
fulfill,False,NYT,101,101,11,101,100,True,OK,,101
fundamental,False,NYT,499,499,11,499,100,True,OK,,498
funding,False,NYT,1624,500,11,500,100,True,OK,,494
furniture,False,NYT,106,106,11,106,100,True,OK,,106
further,False,NYT,1675,500,11,500,100,True,OK,,490
gaining,False,NYT,259,259,11,259,100,True,OK,,259
game,False,NYT,2402,500,11,500,100,True,OK,,483
gaming,False,NYT,357,357,11,357,100,True,OK,,337
gathering,False,NYT,494,494,11,494,100,True,OK,,493
gebru,False,NYT,122,122,11,122,100,True,OK,,122
gen,False,NYT,179,179,11,179,100,True,OK,,170
general,False,NYT,2608,500,11,500,100,True,OK,,491
generates,False,NYT,290,290,11,290,100,True,OK,,290
generations,False,NYT,343,343,11,343,100,True,OK,,341
generator,False,NYT,173,173,11,173,100,True,OK,,164
generic,False,NYT,135,135,11,135,100,True,OK,,134
genetic,False,NYT,306,306,11,306,100,True,OK,,300
genetics,False,NYT,103,103,11,103,100,True,OK,,103
geoffrey,False,NYT,103,103,11,103,100,True,OK,,103
geometry,False,NYT,107,107,11,107,100,True,OK,,107
gets,False,NYT,1014,500,11,500,100,True,OK,,489
give,False,NYT,2813,500,11,500,100,True,OK,,496
given,False,NYT,2363,500,11,500,100,True,OK,,494
gives,False,NYT,773,500,11,500,100,True,OK,,492
giving,False,NYT,1444,500,11,500,100,True,OK,,498
glad,False,NYT,94,94,11,0,100,False,BELOW_MINIMUM,BELOW_MINIMUM,0
glass,False,NYT,377,377,11,377,100,True,OK,,374
globe,False,NYT,414,414,11,414,100,True,OK,,410
gotten,False,NYT,432,432,11,432,100,True,OK,,432
governments,False,NYT,1083,500,11,500,100,True,OK,,495
grace,False,NYT,126,126,11,126,100,True,OK,,125
