target,arena,arena_label,seed,eligible_sentences,sampled_sentences,similarity_past,similarity_future,similarity_machine,similarity_beyond,temporality_future_minus_past,ontology_beyond_minus_machine
algorithm,WSJ,Wall Street Journal (business news),11,184,184,0.38860117205133604,0.4261220781702692,0.6236305565046705,0.4955228133908335,0.03752090611893316,-0.128107743113837
control,WSJ,Wall Street Journal (business news),11,256,256,0.38177994787644787,0.4051764595295625,0.4560549615414319,0.4645868391604306,0.023396511653114627,0.008531877618998707
decision,WSJ,Wall Street Journal (business news),11,174,174,0.40153643444944465,0.4447028861387155,0.4588192886680022,0.4764010637807819,0.04316645168927086,0.017581775112779696
generation,WSJ,Wall Street Journal (business news),11,273,273,0.4096526959442522,0.42420355637911494,0.47502745661139834,0.45975662326890804,0.014550860434862756,-0.015270833342490298
intelligence,WSJ,Wall Street Journal (business news),11,6537,500,0.36539285471126265,0.41720112097133505,0.5914427907309855,0.4970725329177766,0.0518082662600724,-0.0943702578132089
learning,WSJ,Wall Street Journal (business news),11,1747,500,0.3691058894311787,0.4129154441872396,0.5793603866283473,0.49524867748755097,0.04380955475606085,-0.08411170914079635
model,WSJ,Wall Street Journal (business news),11,654,500,0.38197966466077493,0.4210800206132254,0.6096324717518662,0.49234697614234746,0.03910035595245048,-0.11728549560951873
network,WSJ,Wall Street Journal (business news),11,235,235,0.38235979608791193,0.4104822950191735,0.5395310825780989,0.48813044337312267,0.028122498931261564,-0.05140063920497623
risk,WSJ,Wall Street Journal (business news),11,318,318,0.3597602761932731,0.44168476750316804,0.4123745802622221,0.4337345024175837,0.08192449130989493,0.021359922155361588
safety,WSJ,Wall Street Journal (business news),11,284,284,0.37579963234086383,0.4119010243003226,0.49973006955846977,0.49199804016672427,0.03610139195945877,-0.0077320293917454985
system,WSJ,Wall Street Journal (business news),11,764,500,0.37932543949251474,0.41994056929525975,0.6251305727872186,0.48716559520214536,0.04061512980274501,-0.13796497758507326
training,WSJ,Wall Street Journal (business news),11,449,449,0.3825179507680462,0.4293801128517528,0.5404666756871072,0.46015571970574803,0.04686216208370664,-0.08031095598135912
understanding,WSJ,Wall Street Journal (business news),11,136,136,0.3956568313052061,0.41573456637190476,0.4858858096883093,0.5041642074826852,0.020077735066698632,0.0182783977943759
agent,arxiv,arXiv (academic),11,2240,500,0.3658196983986652,0.3996709964490185,0.5469875610374613,0.5053629473874136,0.03385129805035331,-0.04162461365004766
algorithm,arxiv,arXiv (academic),11,3353,500,0.3817022152442875,0.40703077594140974,0.5870053802551674,0.44319194995074346,0.02532856069712225,-0.1438134303044239
alignment,arxiv,arXiv (academic),11,295,295,0.37567406066527836,0.41297634868520966,0.5155100445053847,0.46844031226129257,0.037302288019931296,-0.047069732244092166
autonomy,arxiv,arXiv (academic),11,103,103,0.3612563749782415,0.3972143454118983,0.5104257605292208,0.4843848614816505,0.03595797043365684,-0.026040899047570343
bias,arxiv,arXiv (academic),11,703,500,0.3573613388614565,0.36581106088497717,0.4470241200124845,0.4338308333323386,0.008449722023520678,-0.01319328668014591
capability,arxiv,arXiv (academic),11,339,339,0.35850747688135753,0.4184600998853703,0.4793555632451165,0.47736226734284093,0.05995262300401277,-0.0019932959022755936
control,arxiv,arXiv (academic),11,1583,500,0.37187514799964305,0.4163966742315443,0.5644763528574809,0.4745826574540214,0.044521526231901254,-0.08989369540345948
creativity,arxiv,arXiv (academic),11,208,208,0.3737471474348339,0.4034934318911653,0.5180340639941637,0.4994195803607897,0.02974628445633143,-0.018614483633374035
decision,arxiv,arXiv (academic),11,2052,500,0.39354343744400944,0.4159277466791265,0.5015027264068331,0.4721472591063705,0.022384309235117084,-0.029355467300462623
fairness,arxiv,arXiv (academic),11,485,485,0.3556225365903609,0.37953360509105377,0.47903634297503844,0.45201433829867527,0.023911068500692856,-0.027022004676363176
generation,arxiv,arXiv (academic),11,1261,500,0.37220087181640316,0.421740270514677,0.5359597530304625,0.45457023508832034,0.04953939869827384,-0.08138951794214216
intelligence,arxiv,arXiv (academic),11,3936,500,0.3805169825295232,0.41797450127313435,0.5814954263854063,0.5154365523569278,0.03745751874361114,-0.06605887402847854
learning,arxiv,arXiv (academic),11,20874,500,0.3618233927425631,0.3946506210193287,0.5390865766952277,0.45203796001232394,0.032827228276765597,-0.08704861668290381
model,arxiv,arXiv (academic),11,11613,500,0.3616024127401587,0.386372111940792,0.5657585467102183,0.43968182202814554,0.02476969920063332,-0.12607672468207276
network,arxiv,arXiv (academic),11,9774,500,0.3658525755695112,0.3912242303973411,0.5597814439026497,0.46390321039507204,0.025371654827829937,-0.09587823350757768
prediction,arxiv,arXiv (academic),11,1628,500,0.37314938877030795,0.41451355582588023,0.5221198674251494,0.46360824600158834,0.041364167055572276,-0.05851162142356103
reasoning,arxiv,arXiv (academic),11,1161,500,0.37748133121378563,0.4138704633961105,0.5497682310951904,0.4848216712674943,0.03638913218232487,-0.06494655982769604
representation,arxiv,arXiv (academic),11,1373,500,0.37742830776489583,0.4029419522745238,0.5254297980190733,0.4620731018580467,0.025513644509627953,-0.06335669616102663
risk,arxiv,arXiv (academic),11,520,500,0.35600300024392206,0.40126746498741783,0.4408890892132806,0.4506077322860907,0.04526446474349577,0.009718643072810063
safety,arxiv,arXiv (academic),11,424,424,0.3638778535166038,0.3994714630587231,0.4832207219147752,0.4695937784527652,0.03559360954211932,-0.013626943462010044
system,arxiv,arXiv (academic),11,4468,500,0.3685337513920724,0.40636413823747647,0.6063345430576925,0.4677560495527162,0.037830386845404074,-0.1385784935049763
training,arxiv,arXiv (academic),11,5810,500,0.37551276344269385,0.4153261567954716,0.5316009186657026,0.4525559631839235,0.039813393352777726,-0.07904495548177909
understanding,arxiv,arXiv (academic),11,958,500,0.38447105205163806,0.42339660282908104,0.5390939328809559,0.4855890223010668,0.038925550777442974,-0.05350491057988904
algorithm,NYT,New York Times (public news),22,271,271,0.3818460235228998,0.4165131825554334,0.6124385613083638,0.4911798129545181,0.03466715903253359,-0.1212587483538457
bias,NYT,New York Times (public news),22,219,219,0.36950528151501943,0.36423635418628786,0.4233332706711197,0.4455541607070493,-0.005268927328731576,0.022220890035929586
control,NYT,New York Times (public news),22,423,423,0.3920155413406148,0.4189328572794205,0.4611612280017197,0.46320513231596444,0.026917315938805697,0.0020439043142447266
creativity,NYT,New York Times (public news),22,113,113,0.3936106597760308,0.4133169431598243,0.4776414832592686,0.5407925643539968,0.019706283383793488,0.06315108109472822
decision,NYT,New York Times (public news),22,206,206,0.39530874890937434,0.4349186189252357,0.4506286865688421,0.4745511932490899,0.03960987001586136,0.023922506680247813
generation,NYT,New York Times (public news),22,319,319,0.40817148586014607,0.40818660878252816,0.45133338054293604,0.4337605830103414,1.5122922382093673e-05,-0.01757279753259461
intelligence,NYT,New York Times (public news),22,12402,500,0.37851120291267665,0.42604757095583656,0.5881937708964851,0.4888568009558761,0.047536368043159916,-0.09933696994060898
learning,NYT,New York Times (public news),22,2237,500,0.3672222509953603,0.4121582126389355,0.5639388414152654,0.4844115313866933,0.04493596164357516,-0.0795273100285721
model,NYT,New York Times (public news),22,872,500,0.38707766596040416,0.417041488261129,0.602861983284146,0.48732458614995255,0.029963822300724863,-0.11553739713419342
network,NYT,New York Times (public news),22,671,500,0.3842204129665908,0.4088961968295192,0.5701076536534405,0.512469739405986,0.024675783862928402,-0.05763791424745457
reasoning,NYT,New York Times (public news),22,118,118,0.3777400744076402,0.40899585872396466,0.5063148716388376,0.5329021444589012,0.031255784316324475,0.026587272820063568
risk,NYT,New York Times (public news),22,334,334,0.36369604742824424,0.43848928107386803,0.42717502658933715,0.4385210935555535,0.07479323364562379,0.011346066966216373
safety,NYT,New York Times (public news),22,452,452,0.37944786599776764,0.4140295520015854,0.48453843962173204,0.49317361530783965,0.03458168600381778,0.00863517568610761
system,NYT,New York Times (public news),22,1521,500,0.3785716017421406,0.41940065838404633,0.6200501074432013,0.48198568790562674,0.040829056641905725,-0.1380644195375746
training,NYT,New York Times (public news),22,457,457,0.3909012994510404,0.4296517318245802,0.5278081429768408,0.4588189294907178,0.03875043237353981,-0.06898921348612297
understanding,NYT,New York Times (public news),22,233,233,0.38739994570426023,0.41562427779613365,0.511849955672264,0.5020587834696361,0.028224332091873416,-0.009791172202627929
algorithm,WSJ,Wall Street Journal (business news),22,184,184,0.38860117205133604,0.4261220781702692,0.6236305565046705,0.4955228133908335,0.03752090611893316,-0.128107743113837
control,WSJ,Wall Street Journal (business news),22,256,256,0.38177994787644787,0.4051764595295625,0.4560549615414319,0.4645868391604306,0.023396511653114627,0.008531877618998707
decision,WSJ,Wall Street Journal (business news),22,174,174,0.40153643444944465,0.4447028861387155,0.4588192886680022,0.4764010637807819,0.04316645168927086,0.017581775112779696
generation,WSJ,Wall Street Journal (business news),22,273,273,0.4096526959442522,0.42420355637911494,0.47502745661139834,0.45975662326890804,0.014550860434862756,-0.015270833342490298
intelligence,WSJ,Wall Street Journal (business news),22,6537,500,0.3707960589605028,0.4226845624144398,0.6079346592463587,0.4937736051465325,0.05188850345393703,-0.11416105409982619
learning,WSJ,Wall Street Journal (business news),22,1747,500,0.36770564276448675,0.41192980332723883,0.5767905224780882,0.4984021816770866,0.04422416056275208,-0.07838834080100154
model,WSJ,Wall Street Journal (business news),22,654,500,0.38129710730484095,0.4175562651923351,0.6094928000537398,0.4889423631473983,0.03625915788749412,-0.12055043690634154
network,WSJ,Wall Street Journal (business news),22,235,235,0.38235979608791193,0.4104822950191735,0.5395310825780989,0.48813044337312267,0.028122498931261564,-0.05140063920497623
risk,WSJ,Wall Street Journal (business news),22,318,318,0.3597602761932731,0.44168476750316804,0.4123745802622221,0.4337345024175837,0.08192449130989493,0.021359922155361588
safety,WSJ,Wall Street Journal (business news),22,284,284,0.37579963234086383,0.4119010243003226,0.49973006955846977,0.49199804016672427,0.03610139195945877,-0.0077320293917454985
system,WSJ,Wall Street Journal (business news),22,764,500,0.37862712504148643,0.4192342923651961,0.6284459422459315,0.4884445568644044,0.04060716732370967,-0.14000138538152712
training,WSJ,Wall Street Journal (business news),22,449,449,0.3825179507680462,0.4293801128517528,0.5404666756871072,0.46015571970574803,0.04686216208370664,-0.08031095598135912
understanding,WSJ,Wall Street Journal (business news),22,136,136,0.3956568313052061,0.41573456637190476,0.4858858096883093,0.5041642074826852,0.020077735066698632,0.0182783977943759
agent,arxiv,arXiv (academic),22,2240,500,0.3680102708731995,0.4047673200565879,0.5527111771954639,0.49753928007931214,0.0367570491833884,-0.05517189711615178
algorithm,arxiv,arXiv (academic),22,3353,500,0.3830703174596786,0.40551042463796466,0.5868813375719844,0.44496704129485165,0.02244010717828604,-0.1419142962771327
alignment,arxiv,arXiv (academic),22,295,295,0.37567406066527836,0.41297634868520966,0.5155100445053847,0.46844031226129257,0.037302288019931296,-0.047069732244092166
autonomy,arxiv,arXiv (academic),22,103,103,0.3612563749782415,0.3972143454118983,0.5104257605292208,0.4843848614816505,0.03595797043365684,-0.026040899047570343
bias,arxiv,arXiv (academic),22,703,500,0.3493834757251366,0.3608093532138761,0.4457912300845613,0.4262901542559447,0.011425877488739467,-0.0195010758286166
capability,arxiv,arXiv (academic),22,339,339,0.35850747688135753,0.4184600998853703,0.4793555632451165,0.47736226734284093,0.05995262300401277,-0.0019932959022755936
control,arxiv,arXiv (academic),22,1583,500,0.3673012276791657,0.4120923927441852,0.5624862244728566,0.4733583168387584,0.04479116506501951,-0.08912790763409817
creativity,arxiv,arXiv (academic),22,208,208,0.3737471474348339,0.4034934318911653,0.5180340639941637,0.4994195803607897,0.02974628445633143,-0.018614483633374035
decision,arxiv,arXiv (academic),22,2052,500,0.39407822666235076,0.41883972061125757,0.5125878731427361,0.4701719860578755,0.02476149394890681,-0.042415887084860604
fairness,arxiv,arXiv (academic),22,485,485,0.3556225365903609,0.37953360509105377,0.47903634297503844,0.45201433829867527,0.023911068500692856,-0.027022004676363176
generation,arxiv,arXiv (academic),22,1261,500,0.3759815902701508,0.4241072672906422,0.5430972143177065,0.46274929464853753,0.048125677020491364,-0.08034791966916899
intelligence,arxiv,arXiv (academic),22,3936,500,0.3787124891665938,0.4144534678933442,0.5805323981618954,0.5158244548888264,0.035740978726750416,-0.06470794327306895
learning,arxiv,arXiv (academic),22,20874,500,0.36938101051959443,0.39441965437477755,0.5347611340411513,0.4471089995685117,0.025038643855183118,-0.08765213447263964
model,arxiv,arXiv (academic),22,11613,500,0.3609016327898757,0.38711034389831905,0.5679372293901742,0.44195033984851695,0.02620871110844336,-0.12598688954165727
network,arxiv,arXiv (academic),22,9774,500,0.3586864135077677,0.3805928234363568,0.5571952920455753,0.4547598938032897,0.02190640992858911,-0.10243539824228559
prediction,arxiv,arXiv (academic),22,1628,500,0.369399918641455,0.41258169750184803,0.5263332439376145,0.4627387757091564,0.04318177886039304,-0.0635944682284581
reasoning,arxiv,arXiv (academic),22,1161,500,0.3762414837533608,0.41551144045392885,0.548982434350114,0.4847865451965639,0.03926995670056804,-0.06419588915355007
representation,arxiv,arXiv (academic),22,1373,500,0.3815134366956274,0.40763678168458334,0.5374449987956499,0.46766418778547686,0.026123344988955965,-0.06978081101017303
risk,arxiv,arXiv (academic),22,520,500,0.35857230083494623,0.40297543009678666,0.44028047824372735,0.44954594359255284,0.044403129261840424,0.009265465348825497
safety,arxiv,arXiv (academic),22,424,424,0.3638778535166038,0.3994714630587231,0.4832207219147752,0.4695937784527652,0.03559360954211932,-0.013626943462010044
system,arxiv,arXiv (academic),22,4468,500,0.369495526132574,0.4065193346970065,0.596398133846056,0.47273623359337225,0.03702380856443249,-0.12366190025268375
training,arxiv,arXiv (academic),22,5810,500,0.3765810271802965,0.41034337550935396,0.5323438524567279,0.45483136122138657,0.033762348329057446,-0.07751249123534132
understanding,arxiv,arXiv (academic),22,958,500,0.3827860488283903,0.4216236744321435,0.5372670564758757,0.49026703737408706,0.0388376256037532,-0.04700001910178864
algorithm,NYT,New York Times (public news),33,271,271,0.3818460235228998,0.4165131825554334,0.6124385613083638,0.4911798129545181,0.03466715903253359,-0.1212587483538457
bias,NYT,New York Times (public news),33,219,219,0.36950528151501943,0.36423635418628786,0.4233332706711197,0.4455541607070493,-0.005268927328731576,0.022220890035929586
control,NYT,New York Times (public news),33,423,423,0.3920155413406148,0.4189328572794205,0.4611612280017197,0.46320513231596444,0.026917315938805697,0.0020439043142447266
creativity,NYT,New York Times (public news),33,113,113,0.3936106597760308,0.4133169431598243,0.4776414832592686,0.5407925643539968,0.019706283383793488,0.06315108109472822
decision,NYT,New York Times (public news),33,206,206,0.39530874890937434,0.4349186189252357,0.4506286865688421,0.4745511932490899,0.03960987001586136,0.023922506680247813
generation,NYT,New York Times (public news),33,319,319,0.40817148586014607,0.40818660878252816,0.45133338054293604,0.4337605830103414,1.5122922382093673e-05,-0.01757279753259461
intelligence,NYT,New York Times (public news),33,12402,500,0.3810489295332852,0.42959285657233276,0.5902957497556074,0.49459807549882423,0.048543927039047585,-0.09569767425678316
learning,NYT,New York Times (public news),33,2237,500,0.377472827146284,0.4196201013955762,0.567503208234056,0.49010026684739283,0.04214727424929221,-0.07740294138666315
model,NYT,New York Times (public news),33,872,500,0.38773149457552236,0.4181342292292056,0.5971051775782229,0.48707725732868,0.03040273465368326,-0.11002792024954289
network,NYT,New York Times (public news),33,671,500,0.3812635602633743,0.406950083174018,0.5687982259972812,0.5082467902330213,0.02568652291064366,-0.06055143576425992
reasoning,NYT,New York Times (public news),33,118,118,0.3777400744076402,0.40899585872396466,0.5063148716388376,0.5329021444589012,0.031255784316324475,0.026587272820063568
risk,NYT,New York Times (public news),33,334,334,0.36369604742824424,0.43848928107386803,0.42717502658933715,0.4385210935555535,0.07479323364562379,0.011346066966216373
safety,NYT,New York Times (public news),33,452,452,0.37944786599776764,0.4140295520015854,0.48453843962173204,0.49317361530783965,0.03458168600381778,0.00863517568610761
system,NYT,New York Times (public news),33,1521,500,0.3773976527335749,0.41807026151228954,0.619908173540837,0.4825037756279604,0.04067260877871465,-0.13740439791287667
training,NYT,New York Times (public news),33,457,457,0.3909012994510404,0.4296517318245802,0.5278081429768408,0.4588189294907178,0.03875043237353981,-0.06898921348612297
understanding,NYT,New York Times (public news),33,233,233,0.38739994570426023,0.41562427779613365,0.511849955672264,0.5020587834696361,0.028224332091873416,-0.009791172202627929
algorithm,WSJ,Wall Street Journal (business news),33,184,184,0.38860117205133604,0.4261220781702692,0.6236305565046705,0.4955228133908335,0.03752090611893316,-0.128107743113837
control,WSJ,Wall Street Journal (business news),33,256,256,0.38177994787644787,0.4051764595295625,0.4560549615414319,0.4645868391604306,0.023396511653114627,0.008531877618998707
decision,WSJ,Wall Street Journal (business news),33,174,174,0.40153643444944465,0.4447028861387155,0.4588192886680022,0.4764010637807819,0.04316645168927086,0.017581775112779696
generation,WSJ,Wall Street Journal (business news),33,273,273,0.4096526959442522,0.42420355637911494,0.47502745661139834,0.45975662326890804,0.014550860434862756,-0.015270833342490298
intelligence,WSJ,Wall Street Journal (business news),33,6537,500,0.36788624499286326,0.41868707259179655,0.5956147940874317,0.4918225432669551,0.050800827598933285,-0.10379225082047655
learning,WSJ,Wall Street Journal (business news),33,1747,500,0.37170972467704977,0.4153731678205257,0.579105387940714,0.4971658308142078,0.04366344314347592,-0.08193955712650619
model,WSJ,Wall Street Journal (business news),33,654,500,0.38107271294935163,0.4185393527097745,0.6121639047790616,0.48966756200744355,0.03746663976042286,-0.12249634277161803
network,WSJ,Wall Street Journal (business news),33,235,235,0.38235979608791193,0.4104822950191735,0.5395310825780989,0.48813044337312267,0.028122498931261564,-0.05140063920497623
risk,WSJ,Wall Street Journal (business news),33,318,318,0.3597602761932731,0.44168476750316804,0.4123745802622221,0.4337345024175837,0.08192449130989493,0.021359922155361588
safety,WSJ,Wall Street Journal (business news),33,284,284,0.37579963234086383,0.4119010243003226,0.49973006955846977,0.49199804016672427,0.03610139195945877,-0.0077320293917454985
system,WSJ,Wall Street Journal (business news),33,764,500,0.37684804483413564,0.41889225972773664,0.6290575466175172,0.4843116402807397,0.042044214893600995,-0.14474590633677753
training,WSJ,Wall Street Journal (business news),33,449,449,0.3825179507680462,0.4293801128517528,0.5404666756871072,0.46015571970574803,0.04686216208370664,-0.08031095598135912
understanding,WSJ,Wall Street Journal (business news),33,136,136,0.3956568313052061,0.41573456637190476,0.4858858096883093,0.5041642074826852,0.020077735066698632,0.0182783977943759
agent,arxiv,arXiv (academic),33,2240,500,0.3626375479257435,0.39354128279317097,0.5474985481779941,0.49013710881854095,0.03090373486742748,-0.057361439359453203
algorithm,arxiv,arXiv (academic),33,3353,500,0.3811203168079418,0.40378923957969576,0.5881845681261748,0.4438072201470348,0.022668922771753974,-0.14437734797914004
alignment,arxiv,arXiv (academic),33,295,295,0.37567406066527836,0.41297634868520966,0.5155100445053847,0.46844031226129257,0.037302288019931296,-0.047069732244092166
autonomy,arxiv,arXiv (academic),33,103,103,0.3612563749782415,0.3972143454118983,0.5104257605292208,0.4843848614816505,0.03595797043365684,-0.026040899047570343
bias,arxiv,arXiv (academic),33,703,500,0.35945889838381717,0.3662007163580032,0.4493083090675869,0.4399333858569796,0.0067418179741860484,-0.009374923210607289
capability,arxiv,arXiv (academic),33,339,339,0.35850747688135753,0.4184600998853703,0.4793555632451165,0.47736226734284093,0.05995262300401277,-0.0019932959022755936
control,arxiv,arXiv (academic),33,1583,500,0.38119848815553636,0.4258647096855085,0.5611199274325729,0.4806827311068408,0.04466622152997213,-0.0804371963257321
creativity,arxiv,arXiv (academic),33,208,208,0.3737471474348339,0.4034934318911653,0.5180340639941637,0.4994195803607897,0.02974628445633143,-0.018614483633374035
decision,arxiv,arXiv (academic),33,2052,500,0.39615122780421885,0.4194617440692581,0.5034769110484805,0.46711241472751347,0.02331051626503927,-0.036364496320967
fairness,arxiv,arXiv (academic),33,485,485,0.3556225365903609,0.37953360509105377,0.47903634297503844,0.45201433829867527,0.023911068500692856,-0.027022004676363176
generation,arxiv,arXiv (academic),33,1261,500,0.37770185340143925,0.42647674725390355,0.5450593901802949,0.4661327934763146,0.04877489385246431,-0.07892659670398033
intelligence,arxiv,arXiv (academic),33,3936,500,0.37550379743335954,0.4129589736852332,0.5790944555790669,0.5136772113506125,0.03745517625187367,-0.06541724422845441
learning,arxiv,arXiv (academic),33,20874,500,0.3666567526497029,0.3926252030912075,0.5283958897587873,0.44473145023419763,0.025968450441504642,-0.08366443952458963
model,arxiv,arXiv (academic),33,11613,500,0.373123015526835,0.3941173379224589,0.5786683291649857,0.45150431877485897,0.020994322395623877,-0.1271640103901267
network,arxiv,arXiv (academic),33,9774,500,0.36096721240987284,0.38489011296550346,0.5584848383940562,0.4555647173910659,0.023922900555630622,-0.10292012100299025
prediction,arxiv,arXiv (academic),33,1628,500,0.35937227278621064,0.40478329381003303,0.5225308459168285,0.4559801938059871,0.045411021023822384,-0.06655065211084144
reasoning,arxiv,arXiv (academic),33,1161,500,0.375070649640534,0.4163713501232257,0.5447997804720957,0.4832125915440025,0.04130070048269169,-0.06158718892809317
representation,arxiv,arXiv (academic),33,1373,500,0.37854684282636747,0.4051681370739446,0.5381693159645473,0.46774798553301566,0.026621294247577143,-0.07042133043153165
risk,arxiv,arXiv (academic),33,520,500,0.35848885013400905,0.4028842663191363,0.43974325649429896,0.4508210571332425,0.04439541618512727,0.011077800638943536
safety,arxiv,arXiv (academic),33,424,424,0.3638778535166038,0.3994714630587231,0.4832207219147752,0.4695937784527652,0.03559360954211932,-0.013626943462010044
system,arxiv,arXiv (academic),33,4468,500,0.3669629721334407,0.4040612349338143,0.6028300367639235,0.4607151794408399,0.037098262800373594,-0.14211485732308365
training,arxiv,arXiv (academic),33,5810,500,0.3660228310066807,0.4004665266181089,0.5266097298514684,0.4441654289646708,0.03444369561142818,-0.08244430088679755
understanding,arxiv,arXiv (academic),33,958,500,0.3810876492663427,0.42365790139527887,0.5340304306236265,0.483997108227476,0.04257025212893617,-0.05003332239615055
algorithm,NYT,New York Times (public news),44,271,271,0.3818460235228998,0.4165131825554334,0.6124385613083638,0.4911798129545181,0.03466715903253359,-0.1212587483538457
bias,NYT,New York Times (public news),44,219,219,0.36950528151501943,0.36423635418628786,0.4233332706711197,0.4455541607070493,-0.005268927328731576,0.022220890035929586
control,NYT,New York Times (public news),44,423,423,0.3920155413406148,0.4189328572794205,0.4611612280017197,0.46320513231596444,0.026917315938805697,0.0020439043142447266
creativity,NYT,New York Times (public news),44,113,113,0.3936106597760308,0.4133169431598243,0.4776414832592686,0.5407925643539968,0.019706283383793488,0.06315108109472822
decision,NYT,New York Times (public news),44,206,206,0.39530874890937434,0.4349186189252357,0.4506286865688421,0.4745511932490899,0.03960987001586136,0.023922506680247813
generation,NYT,New York Times (public news),44,319,319,0.40817148586014607,0.40818660878252816,0.45133338054293604,0.4337605830103414,1.5122922382093673e-05,-0.01757279753259461
intelligence,NYT,New York Times (public news),44,12402,500,0.37111370830304086,0.4221677269597151,0.5965023184525282,0.486585368703161,0.05105401865667425,-0.10991694974936722
learning,NYT,New York Times (public news),44,2237,500,0.3726633009603296,0.41383178121967173,0.5680101105204676,0.4922988936498888,0.04116848025934211,-0.07571121687057875
model,NYT,New York Times (public news),44,872,500,0.38976202718126735,0.4183155305218949,0.6021691638787504,0.48744086599279585,0.028553503340627562,-0.11472829788595457
network,NYT,New York Times (public news),44,671,500,0.38142188890939027,0.4071269970484239,0.5685272999194309,0.50736631382614,0.02570510813903365,-0.0611609860932909
reasoning,NYT,New York Times (public news),44,118,118,0.3777400744076402,0.40899585872396466,0.5063148716388376,0.5329021444589012,0.031255784316324475,0.026587272820063568
risk,NYT,New York Times (public news),44,334,334,0.36369604742824424,0.43848928107386803,0.42717502658933715,0.4385210935555535,0.07479323364562379,0.011346066966216373
safety,NYT,New York Times (public news),44,452,452,0.37944786599776764,0.4140295520015854,0.48453843962173204,0.49317361530783965,0.03458168600381778,0.00863517568610761
system,NYT,New York Times (public news),44,1521,500,0.38068247247150144,0.4207826294405586,0.6226849742569123,0.4851151691378923,0.040100156969057166,-0.13756980511901995
training,NYT,New York Times (public news),44,457,457,0.3909012994510404,0.4296517318245802,0.5278081429768408,0.4588189294907178,0.03875043237353981,-0.06898921348612297
understanding,NYT,New York Times (public news),44,233,233,0.38739994570426023,0.41562427779613365,0.511849955672264,0.5020587834696361,0.028224332091873416,-0.009791172202627929
algorithm,WSJ,Wall Street Journal (business news),44,184,184,0.38860117205133604,0.4261220781702692,0.6236305565046705,0.4955228133908335,0.03752090611893316,-0.128107743113837
control,WSJ,Wall Street Journal (business news),44,256,256,0.38177994787644787,0.4051764595295625,0.4560549615414319,0.4645868391604306,0.023396511653114627,0.008531877618998707
decision,WSJ,Wall Street Journal (business news),44,174,174,0.40153643444944465,0.4447028861387155,0.4588192886680022,0.4764010637807819,0.04316645168927086,0.017581775112779696
generation,WSJ,Wall Street Journal (business news),44,273,273,0.4096526959442522,0.42420355637911494,0.47502745661139834,0.45975662326890804,0.014550860434862756,-0.015270833342490298
intelligence,WSJ,Wall Street Journal (business news),44,6537,500,0.37323143617548193,0.4262708894524955,0.5933474855234501,0.4963122651146153,0.05303945327701359,-0.09703522040883478
