seed,word,arena_a,arena_b,comparison,jsd,scaled_jsd,n_matched_controls,n_selected_controls,n_valid_controls,control_set_flag
11,training,NYT,WSJ,NYT–WSJ,0.2577046877864303,0.7857142857142857,28,28,28,SMALL
11,training,NYT,arxiv,NYT–arxiv,0.4546674156112799,0.0,1,1,1,VERY_SMALL
11,training,WSJ,arxiv,WSJ–arxiv,0.4257812705886009,0.0,1,1,1,VERY_SMALL
11,understanding,NYT,WSJ,NYT–WSJ,0.3941415697527389,0.9245283018867925,53,53,53,LIMITED
11,understanding,NYT,arxiv,NYT–arxiv,0.40871223587889094,0.2222222222222222,9,9,9,VERY_SMALL
11,understanding,WSJ,arxiv,WSJ–arxiv,0.42837618772143105,0.45454545454545453,11,11,11,SMALL
22,algorithm,NYT,WSJ,NYT–WSJ,0.1874303646398109,0.3870967741935484,31,31,31,LIMITED
22,algorithm,NYT,arxiv,NYT–arxiv,0.48997115908358413,,0,0,0,VERY_SMALL
22,algorithm,WSJ,arxiv,WSJ–arxiv,0.47978311357372416,,0,0,0,VERY_SMALL
22,bias,NYT,arxiv,NYT–arxiv,0.5582647429858434,0.4444444444444444,9,9,9,VERY_SMALL
22,control,NYT,WSJ,NYT–WSJ,0.4513980374179061,1.0,18,18,18,SMALL
22,control,NYT,arxiv,NYT–arxiv,0.8339034780225385,,0,0,0,VERY_SMALL
22,control,WSJ,arxiv,WSJ–arxiv,0.8100041490427357,1.0,4,4,4,VERY_SMALL
22,creativity,NYT,arxiv,NYT–arxiv,0.5819118380901541,0.44,25,25,25,SMALL
22,decision,NYT,WSJ,NYT–WSJ,0.5185841769533558,0.967741935483871,31,31,31,LIMITED
22,decision,NYT,arxiv,NYT–arxiv,0.9224120496832805,1.0,4,4,4,VERY_SMALL
22,decision,WSJ,arxiv,WSJ–arxiv,0.7581901040173262,1.0,2,2,2,VERY_SMALL
22,generation,NYT,WSJ,NYT–WSJ,0.39857745231362873,1.0,33,33,33,LIMITED
22,generation,NYT,arxiv,NYT–arxiv,0.8580142711755472,0.9,10,10,10,SMALL
22,generation,WSJ,arxiv,WSJ–arxiv,0.6624728307391883,0.8888888888888888,9,9,9,VERY_SMALL
22,intelligence,NYT,WSJ,NYT–WSJ,0.24227173127252496,0.875,8,8,8,VERY_SMALL
22,intelligence,NYT,arxiv,NYT–arxiv,0.5225631432139415,1.0,1,1,1,VERY_SMALL
22,intelligence,WSJ,arxiv,WSJ–arxiv,0.49607413775095355,1.0,1,1,1,VERY_SMALL
22,learning,NYT,WSJ,NYT–WSJ,0.19539507439917742,0.5,10,10,10,SMALL
22,learning,NYT,arxiv,NYT–arxiv,0.5402373897033079,,0,0,0,VERY_SMALL
22,learning,WSJ,arxiv,WSJ–arxiv,0.5822744042470803,,0,0,0,VERY_SMALL
22,model,NYT,WSJ,NYT–WSJ,0.16046620440015757,1.0,4,4,4,VERY_SMALL
22,model,NYT,arxiv,NYT–arxiv,0.4754984060743954,,0,0,0,VERY_SMALL
22,model,WSJ,arxiv,WSJ–arxiv,0.5466892054978938,,0,0,0,VERY_SMALL
22,network,NYT,WSJ,NYT–WSJ,0.4196355659925063,0.92,25,25,25,SMALL
22,network,NYT,arxiv,NYT–arxiv,0.548955728765123,,0,0,0,VERY_SMALL
22,network,WSJ,arxiv,WSJ–arxiv,0.681162971854981,0.5,2,2,2,VERY_SMALL
22,reasoning,NYT,arxiv,NYT–arxiv,0.45043485214835655,0.0,2,2,2,VERY_SMALL
22,risk,NYT,WSJ,NYT–WSJ,0.2940451368516283,0.8666666666666667,15,15,15,SMALL
22,risk,NYT,arxiv,NYT–arxiv,0.432374857546893,0.6666666666666666,6,6,6,VERY_SMALL
22,risk,WSJ,arxiv,WSJ–arxiv,0.38747631893367773,0.16666666666666666,6,6,6,VERY_SMALL
22,safety,NYT,WSJ,NYT–WSJ,0.30947479616934953,0.8275862068965517,29,29,29,SMALL
22,safety,NYT,arxiv,NYT–arxiv,0.4232445709246282,0.25,8,8,8,VERY_SMALL
22,safety,WSJ,arxiv,WSJ–arxiv,0.34090126743772564,0.42857142857142855,7,7,7,VERY_SMALL
22,system,NYT,WSJ,NYT–WSJ,0.13849628453802598,0.2727272727272727,11,11,11,SMALL
22,system,NYT,arxiv,NYT–arxiv,0.261074461006501,0.0,1,1,1,VERY_SMALL
22,system,WSJ,arxiv,WSJ–arxiv,0.30602412677571666,0.0,1,1,1,VERY_SMALL
22,training,NYT,WSJ,NYT–WSJ,0.2577046877864303,0.7857142857142857,28,28,28,SMALL
22,training,NYT,arxiv,NYT–arxiv,0.522125986371768,0.0,1,1,1,VERY_SMALL
22,training,WSJ,arxiv,WSJ–arxiv,0.48694611050914427,0.0,1,1,1,VERY_SMALL
22,understanding,NYT,WSJ,NYT–WSJ,0.3941415697527389,0.9245283018867925,53,53,53,LIMITED
22,understanding,NYT,arxiv,NYT–arxiv,0.37886661141348166,0.1111111111111111,9,9,9,VERY_SMALL
22,understanding,WSJ,arxiv,WSJ–arxiv,0.3979496213100042,0.2727272727272727,11,11,11,SMALL
33,algorithm,NYT,WSJ,NYT–WSJ,0.1874303646398109,0.3870967741935484,31,31,31,LIMITED
33,algorithm,NYT,arxiv,NYT–arxiv,0.4804988825872748,,0,0,0,VERY_SMALL
33,algorithm,WSJ,arxiv,WSJ–arxiv,0.44830933153145464,,0,0,0,VERY_SMALL
33,bias,NYT,arxiv,NYT–arxiv,0.5419642190377845,0.4444444444444444,9,9,9,VERY_SMALL
33,control,NYT,WSJ,NYT–WSJ,0.4513980374179061,1.0,18,18,18,SMALL
33,control,NYT,arxiv,NYT–arxiv,0.8080273130815316,,0,0,0,VERY_SMALL
33,control,WSJ,arxiv,WSJ–arxiv,0.7856536442714463,1.0,4,4,4,VERY_SMALL
33,creativity,NYT,arxiv,NYT–arxiv,0.5819118380901541,0.44,25,25,25,SMALL
33,decision,NYT,WSJ,NYT–WSJ,0.5185841769533558,0.967741935483871,31,31,31,LIMITED
33,decision,NYT,arxiv,NYT–arxiv,0.8942629294801807,1.0,4,4,4,VERY_SMALL
33,decision,WSJ,arxiv,WSJ–arxiv,0.7666693543686871,1.0,2,2,2,VERY_SMALL
33,generation,NYT,WSJ,NYT–WSJ,0.39857745231362873,1.0,33,33,33,LIMITED
33,generation,NYT,arxiv,NYT–arxiv,0.8550265139726223,0.9,10,10,10,SMALL
33,generation,WSJ,arxiv,WSJ–arxiv,0.6390226964096284,0.7777777777777778,9,9,9,VERY_SMALL
33,intelligence,NYT,WSJ,NYT–WSJ,0.18658479376329706,0.75,8,8,8,VERY_SMALL
33,intelligence,NYT,arxiv,NYT–arxiv,0.5377032237945804,1.0,1,1,1,VERY_SMALL
33,intelligence,WSJ,arxiv,WSJ–arxiv,0.4365416458967333,0.0,1,1,1,VERY_SMALL
33,learning,NYT,WSJ,NYT–WSJ,0.19608546129576404,0.5,10,10,10,SMALL
33,learning,NYT,arxiv,NYT–arxiv,0.47824152631744826,,0,0,0,VERY_SMALL
33,learning,WSJ,arxiv,WSJ–arxiv,0.545405131139825,,0,0,0,VERY_SMALL
33,model,NYT,WSJ,NYT–WSJ,0.1869037533794253,1.0,4,4,4,VERY_SMALL
33,model,NYT,arxiv,NYT–arxiv,0.4424281818039645,,0,0,0,VERY_SMALL
33,model,WSJ,arxiv,WSJ–arxiv,0.5397294003619018,,0,0,0,VERY_SMALL
33,network,NYT,WSJ,NYT–WSJ,0.4220196275883643,0.92,25,25,25,SMALL
33,network,NYT,arxiv,NYT–arxiv,0.5280525476765792,,0,0,0,VERY_SMALL
33,network,WSJ,arxiv,WSJ–arxiv,0.6891722125945305,1.0,2,2,2,VERY_SMALL
33,reasoning,NYT,arxiv,NYT–arxiv,0.49774785038373126,0.0,2,2,2,VERY_SMALL
33,risk,NYT,WSJ,NYT–WSJ,0.2940451368516283,0.8666666666666667,15,15,15,SMALL
33,risk,NYT,arxiv,NYT–arxiv,0.4380808113692366,0.6666666666666666,6,6,6,VERY_SMALL
33,risk,WSJ,arxiv,WSJ–arxiv,0.3885824276623314,0.16666666666666666,6,6,6,VERY_SMALL
33,safety,NYT,WSJ,NYT–WSJ,0.30947479616934953,0.8275862068965517,29,29,29,SMALL
33,safety,NYT,arxiv,NYT–arxiv,0.4232445709246282,0.25,8,8,8,VERY_SMALL
33,safety,WSJ,arxiv,WSJ–arxiv,0.34090126743772564,0.42857142857142855,7,7,7,VERY_SMALL
33,system,NYT,WSJ,NYT–WSJ,0.1356781123605849,0.18181818181818182,11,11,11,SMALL
33,system,NYT,arxiv,NYT–arxiv,0.22744308453844583,0.0,1,1,1,VERY_SMALL
33,system,WSJ,arxiv,WSJ–arxiv,0.23850183692251095,0.0,1,1,1,VERY_SMALL
33,training,NYT,WSJ,NYT–WSJ,0.2577046877864303,0.7857142857142857,28,28,28,SMALL
33,training,NYT,arxiv,NYT–arxiv,0.5377248254629876,0.0,1,1,1,VERY_SMALL
33,training,WSJ,arxiv,WSJ–arxiv,0.4743382947059493,0.0,1,1,1,VERY_SMALL
33,understanding,NYT,WSJ,NYT–WSJ,0.3941415697527389,0.9245283018867925,53,53,53,LIMITED
33,understanding,NYT,arxiv,NYT–arxiv,0.3842946430379125,0.1111111111111111,9,9,9,VERY_SMALL
33,understanding,WSJ,arxiv,WSJ–arxiv,0.42789487109766156,0.45454545454545453,11,11,11,SMALL
44,algorithm,NYT,WSJ,NYT–WSJ,0.1874303646398109,0.3870967741935484,31,31,31,LIMITED
44,algorithm,NYT,arxiv,NYT–arxiv,0.4973650131476218,,0,0,0,VERY_SMALL
44,algorithm,WSJ,arxiv,WSJ–arxiv,0.46969483484096974,,0,0,0,VERY_SMALL
44,bias,NYT,arxiv,NYT–arxiv,0.5582000560097081,0.4444444444444444,9,9,9,VERY_SMALL
44,control,NYT,WSJ,NYT–WSJ,0.4513980374179061,1.0,18,18,18,SMALL
44,control,NYT,arxiv,NYT–arxiv,0.8251975500295464,,0,0,0,VERY_SMALL
44,control,WSJ,arxiv,WSJ–arxiv,0.8180349196765777,1.0,4,4,4,VERY_SMALL
44,creativity,NYT,arxiv,NYT–arxiv,0.5819118380901541,0.44,25,25,25,SMALL
44,decision,NYT,WSJ,NYT–WSJ,0.5185841769533558,0.967741935483871,31,31,31,LIMITED
44,decision,NYT,arxiv,NYT–arxiv,0.88932527035953,1.0,4,4,4,VERY_SMALL
44,decision,WSJ,arxiv,WSJ–arxiv,0.7927016962300406,1.0,2,2,2,VERY_SMALL
44,generation,NYT,WSJ,NYT–WSJ,0.39857745231362873,1.0,33,33,33,LIMITED
44,generation,NYT,arxiv,NYT–arxiv,0.852974027216328,0.9,10,10,10,SMALL
44,generation,WSJ,arxiv,WSJ–arxiv,0.6505259703255148,0.7777777777777778,9,9,9,VERY_SMALL
44,intelligence,NYT,WSJ,NYT–WSJ,0.16402267919297667,0.5,8,8,8,VERY_SMALL
44,intelligence,NYT,arxiv,NYT–arxiv,0.5441571281929954,1.0,1,1,1,VERY_SMALL
44,intelligence,WSJ,arxiv,WSJ–arxiv,0.4727728998330877,0.0,1,1,1,VERY_SMALL
44,learning,NYT,WSJ,NYT–WSJ,0.20676465061492347,0.6,10,10,10,SMALL
44,learning,NYT,arxiv,NYT–arxiv,0.48996725744451086,,0,0,0,VERY_SMALL
44,learning,WSJ,arxiv,WSJ–arxiv,0.5187058825990769,,0,0,0,VERY_SMALL
44,model,NYT,WSJ,NYT–WSJ,0.18176331221395248,1.0,4,4,4,VERY_SMALL
44,model,NYT,arxiv,NYT–arxiv,0.43954227434692406,,0,0,0,VERY_SMALL
44,model,WSJ,arxiv,WSJ–arxiv,0.4772621911741569,,0,0,0,VERY_SMALL
44,network,NYT,WSJ,NYT–WSJ,0.42959167363283934,0.92,25,25,25,SMALL
44,network,NYT,arxiv,NYT–arxiv,0.5795742790146874,,0,0,0,VERY_SMALL
44,network,WSJ,arxiv,WSJ–arxiv,0.6879853903438429,0.5,2,2,2,VERY_SMALL
44,reasoning,NYT,arxiv,NYT–arxiv,0.5077122667753831,0.0,2,2,2,VERY_SMALL
44,risk,NYT,WSJ,NYT–WSJ,0.2940451368516283,0.8666666666666667,15,15,15,SMALL
44,risk,NYT,arxiv,NYT–arxiv,0.44746600108544143,0.6666666666666666,6,6,6,VERY_SMALL
44,risk,WSJ,arxiv,WSJ–arxiv,0.3873955123167876,0.16666666666666666,6,6,6,VERY_SMALL
44,safety,NYT,WSJ,NYT–WSJ,0.30947479616934953,0.8275862068965517,29,29,29,SMALL
44,safety,NYT,arxiv,NYT–arxiv,0.4232445709246282,0.25,8,8,8,VERY_SMALL
44,safety,WSJ,arxiv,WSJ–arxiv,0.34090126743772564,0.42857142857142855,7,7,7,VERY_SMALL
44,system,NYT,WSJ,NYT–WSJ,0.12044716268262676,0.18181818181818182,11,11,11,SMALL
44,system,NYT,arxiv,NYT–arxiv,0.25669057640364645,0.0,1,1,1,VERY_SMALL
44,system,WSJ,arxiv,WSJ–arxiv,0.30208361416435237,0.0,1,1,1,VERY_SMALL
44,training,NYT,WSJ,NYT–WSJ,0.2577046877864303,0.7857142857142857,28,28,28,SMALL
44,training,NYT,arxiv,NYT–arxiv,0.5207120322735481,0.0,1,1,1,VERY_SMALL
44,training,WSJ,arxiv,WSJ–arxiv,0.4799173925429556,0.0,1,1,1,VERY_SMALL
44,understanding,NYT,WSJ,NYT–WSJ,0.3941415697527389,0.9245283018867925,53,53,53,LIMITED
44,understanding,NYT,arxiv,NYT–arxiv,0.3865539512763415,0.1111111111111111,9,9,9,VERY_SMALL
44,understanding,WSJ,arxiv,WSJ–arxiv,0.4078280780516527,0.2727272727272727,11,11,11,SMALL
55,algorithm,NYT,WSJ,NYT–WSJ,0.1874303646398109,0.3870967741935484,31,31,31,LIMITED
55,algorithm,NYT,arxiv,NYT–arxiv,0.47078762026957377,,0,0,0,VERY_SMALL
55,algorithm,WSJ,arxiv,WSJ–arxiv,0.4442480183562303,,0,0,0,VERY_SMALL
55,bias,NYT,arxiv,NYT–arxiv,0.526883007971767,0.4444444444444444,9,9,9,VERY_SMALL
55,control,NYT,WSJ,NYT–WSJ,0.4513980374179061,1.0,18,18,18,SMALL
55,control,NYT,arxiv,NYT–arxiv,0.7974460554166174,,0,0,0,VERY_SMALL
55,control,WSJ,arxiv,WSJ–arxiv,0.7930573561547725,1.0,4,4,4,VERY_SMALL
55,creativity,NYT,arxiv,NYT–arxiv,0.5819118380901541,0.44,25,25,25,SMALL
55,decision,NYT,WSJ,NYT–WSJ,0.5185841769533558,0.967741935483871,31,31,31,LIMITED
55,decision,NYT,arxiv,NYT–arxiv,0.9066409471238612,1.0,4,4,4,VERY_SMALL
55,decision,WSJ,arxiv,WSJ–arxiv,0.7818429310678616,1.0,2,2,2,VERY_SMALL
55,generation,NYT,WSJ,NYT–WSJ,0.39857745231362873,1.0,33,33,33,LIMITED
55,generation,NYT,arxiv,NYT–arxiv,0.8288233782262022,0.9,10,10,10,SMALL
55,generation,WSJ,arxiv,WSJ–arxiv,0.6031330811273456,0.6666666666666666,9,9,9,VERY_SMALL
55,intelligence,NYT,WSJ,NYT–WSJ,0.23067520835084898,0.875,8,8,8,VERY_SMALL
55,intelligence,NYT,arxiv,NYT–arxiv,0.5106521207195673,1.0,1,1,1,VERY_SMALL
55,intelligence,WSJ,arxiv,WSJ–arxiv,0.4151846817775635,0.0,1,1,1,VERY_SMALL
55,learning,NYT,WSJ,NYT–WSJ,0.2188430645840524,0.8,10,10,10,SMALL
55,learning,NYT,arxiv,NYT–arxiv,0.46672726467416215,,0,0,0,VERY_SMALL
55,learning,WSJ,arxiv,WSJ–arxiv,0.5645609966975171,,0,0,0,VERY_SMALL
55,model,NYT,WSJ,NYT–WSJ,0.15327192601489473,1.0,4,4,4,VERY_SMALL
55,model,NYT,arxiv,NYT–arxiv,0.4001825067673702,,0,0,0,VERY_SMALL
55,model,WSJ,arxiv,WSJ–arxiv,0.48800866550853406,,0,0,0,VERY_SMALL
55,network,NYT,WSJ,NYT–WSJ,0.42016351798949964,0.92,25,25,25,SMALL
55,network,NYT,arxiv,NYT–arxiv,0.5300091092341913,,0,0,0,VERY_SMALL
55,network,WSJ,arxiv,WSJ–arxiv,0.6880499733789257,1.0,2,2,2,VERY_SMALL
55,reasoning,NYT,arxiv,NYT–arxiv,0.495166964067546,0.0,2,2,2,VERY_SMALL
55,risk,NYT,WSJ,NYT–WSJ,0.2940451368516283,0.8666666666666667,15,15,15,SMALL
55,risk,NYT,arxiv,NYT–arxiv,0.43676102986962295,0.6666666666666666,6,6,6,VERY_SMALL
55,risk,WSJ,arxiv,WSJ–arxiv,0.3779651935845974,0.16666666666666666,6,6,6,VERY_SMALL
55,safety,NYT,WSJ,NYT–WSJ,0.30947479616934953,0.8275862068965517,29,29,29,SMALL
55,safety,NYT,arxiv,NYT–arxiv,0.4232445709246282,0.25,8,8,8,VERY_SMALL
55,safety,WSJ,arxiv,WSJ–arxiv,0.34090126743772564,0.42857142857142855,7,7,7,VERY_SMALL
55,system,NYT,WSJ,NYT–WSJ,0.13970952729641178,0.2727272727272727,11,11,11,SMALL
55,system,NYT,arxiv,NYT–arxiv,0.2322295855614327,0.0,1,1,1,VERY_SMALL
55,system,WSJ,arxiv,WSJ–arxiv,0.2485615175170943,0.0,1,1,1,VERY_SMALL
55,training,NYT,WSJ,NYT–WSJ,0.2577046877864303,0.7857142857142857,28,28,28,SMALL
55,training,NYT,arxiv,NYT–arxiv,0.562984283209483,0.0,1,1,1,VERY_SMALL
55,training,WSJ,arxiv,WSJ–arxiv,0.5098011339939065,0.0,1,1,1,VERY_SMALL
55,understanding,NYT,WSJ,NYT–WSJ,0.3941415697527389,0.9245283018867925,53,53,53,LIMITED
55,understanding,NYT,arxiv,NYT–arxiv,0.40421339083433816,0.2222222222222222,9,9,9,VERY_SMALL
55,understanding,WSJ,arxiv,WSJ–arxiv,0.4308967133811104,0.45454545454545453,11,11,11,SMALL
