target,arena_a,arena_b,target_freq_a,target_freq_b,n_matched_controls,n_selected_controls,selected_controls,pre_profile_flag
bias,NYT,WSJ,722,261,58,58,affect; aggressive; agree; alliance; alongside; andrew; arms; ban; bar; brown; candidate; certainly; claim; clearly; cold; complicated; concept; deepmind; door; economics; essentially; experiment; expert; explain; faced; fashion; flight; handful; harm; housing; impossible; intellectual; knows; lawyers; lots; massachusetts; none; perfect; pichai; ran; rare; remove; responded; restaurant; square; st; stand; steve; table; tested; theory; transition; variety; versions; warning; websites; whatever; writer,LIMITED
bias,NYT,arxiv,722,5502,9,9,candidate; choose; connected; determine; direction; gives; location; necessary; novel,VERY_SMALL
bias,WSJ,arxiv,261,5502,8,8,candidate; communication; contrast; predictions; programming; prove; relative; zero,VERY_SMALL
capability,NYT,WSJ,236,185,33,33,actively; adjust; advisory; applicants; attractive; barriers; calculations; combine; complexity; drives; enhance; evaluate; flat; gaining; graduates; hybrid; input; judgment; landing; lately; moore; oxford; picking; precision; ranging; ranks; slack; sony; sustainable; switch; transfer; upgrade; winners,LIMITED
capability,NYT,arxiv,236,2010,15,15,advantages; choosing; consumption; contained; detected; distinguish; enhance; fixed; fraction; gen; perception; precisely; string; supports; whenever,SMALL
capability,WSJ,arxiv,185,2010,14,14,adapt; assess; conduct; drawn; enhance; focuses; fundamental; mixed; pixel; preferred; representative; stages; statements; surface,SMALL
control,NYT,WSJ,3039,1440,18,18,america; apps; board; call; days; efforts; enough; give; humans; least; makes; point; problem; process; similar; started; took; why,SMALL
control,NYT,arxiv,3039,12355,0,0,,VERY_SMALL
control,WSJ,arxiv,1440,12355,4,4,important; rate; small; strategy,VERY_SMALL
creativity,NYT,WSJ,456,168,78,78,abroad; adults; africa; agreements; arabia; attracted; banned; bay; billionaire; choices; combat; concluded; constantly; counter; crime; criminal; crowd; cruise; dedicated; deeper; dna; doubt; drew; exercise; extremely; farm; findings; freedom; gathering; globe; gotten; guy; hair; helpful; ii; implications; intense; ios; jason; kim; king; landscape; magic; mainly; method; ministry; mixed; movements; ourselves; pattern; pixel; possibly; prepared; professors; protections; rarely; realize; reporter; revealed; rooms; sciences; session; skeptical; sleep; standing; streets; studied; thoughts; title; translate; universe; victory; viral; virginia; voting; vulnerable; wilson; wonder,LIMITED
creativity,NYT,arxiv,456,614,25,25,aircraft; animal; auto; breaking; cards; competing; contact; danger; emerged; encourage; engagement; engines; heat; heavy; landscape; mix; open-source; pop; profile; rarely; realize; reviewed; suggestions; vulnerable; waiting,SMALL
creativity,WSJ,arxiv,168,614,20,20,blockchain; broken; cap; commands; designers; developments; drawing; judgment; landscape; minority; mobility; narrow; prominent; ranks; rarely; realize; stress; suggesting; timing; vulnerable,SMALL
decision,NYT,WSJ,1745,821,31,31,age; answer; area; ask; bring; cases; challenges; contributed; creating; difficult; engineers; hundreds; john; leading; list; lost; mark; order; reason; respond; response; result; risks; short; shows; significant; six; south; store; sure; vision,LIMITED
decision,NYT,arxiv,1745,16732,4,4,further; level; result; shows,VERY_SMALL
decision,WSJ,arxiv,821,16732,2,2,result; shows,VERY_SMALL
fairness,NYT,WSJ,109,63,112,100,assignments; laundry; trillions; meantime; consideration; sidelines; permanently; cryptocurrencies; lag; mistral; unnecessary; stroke; switched; chasing; jerome; runway; interim; carries; intuitive; summarizing; diabetes; abusive; evaluation; processed; forming; accustomed; deny; cooper; threw; reaches; posing; capturing; advertisements; co-workers; sole; kansas; entrepreneurship; accomplished; geoffrey; fits; structured; beta; pants; bureaucracy; securing; ears; prevented; hurdle; mich; fraudulent; disclosures; autor; picks; discovering; stack; fabric; liz; transfers; northwestern; fulfill; ore; collaborating; structural; verification; charts; hp; researching; borrow; jacob; exploded; height; journals; lasers; upend; remind; muscle; adjusting; aluminum; smallest; shore; tentative; widening; scored; varying; furniture; jumping; cargo; scarce; mechanics; ipads; molecular; whereas; emergence; admissions; hurting; malware; hacker; recovered; responsibly; cure,FULL
fairness,NYT,arxiv,109,2726,9,9,assuming; composition; ct; del; ensemble; improves; norm; satisfying; structured,VERY_SMALL
fairness,WSJ,arxiv,63,2726,7,7,assumed; conclusions; contribution; formally; generator; structured; tokens,VERY_SMALL
generation,NYT,WSJ,1200,674,33,33,amount; benefits; bought; cameras; commercial; engineering; fast; feature; figure; individual; instance; larger; letter; limited; mean; november; offers; oil; patterns; position; posted; raise; remain; remains; required; resources; review; robotics; shift; son; speed; type; typically,LIMITED
generation,NYT,arxiv,1200,8739,10,10,associated; complete; directly; individual; learned; low; natural; range; required; source,SMALL
generation,WSJ,arxiv,674,8739,9,9,allows; attention; behavior; common; individual; processing; required; term; train,VERY_SMALL
intelligence,NYT,WSJ,14917,6893,8,8,after; all; last; many; now; over; so; them,VERY_SMALL
intelligence,NYT,arxiv,14917,7679,1,1,last,VERY_SMALL
intelligence,WSJ,arxiv,6893,7679,1,1,last,VERY_SMALL
learning,NYT,WSJ,3363,2055,10,10,end; executives; job; likely; machine; nearly; number; potential; service; today,SMALL
learning,NYT,arxiv,3363,61868,0,0,,VERY_SMALL
learning,WSJ,arxiv,2055,61868,0,0,,VERY_SMALL
model,NYT,WSJ,2979,1943,4,4,able; businesses; cars; likely,VERY_SMALL
model,NYT,arxiv,2979,104173,0,0,,VERY_SMALL
model,WSJ,arxiv,1943,104173,0,0,,VERY_SMALL
network,NYT,WSJ,2709,1220,25,25,almost; announced; apps; away; beijing; built; came; concerns; doing; game; general; great; hard; helped; pandemic; personal; possible; privacy; private; rather; rules; space; study; support; voice,SMALL
network,NYT,arxiv,2709,39399,0,0,,VERY_SMALL
network,WSJ,arxiv,1220,39399,2,2,given; performance,VERY_SMALL
prediction,NYT,WSJ,341,135,89,89,analyzed; aside; assistance; barely; bear; behalf; belief; biases; biological; bright; brother; capitalist; captured; causing; censorship; chose; column; complaint; davis; dean; deepfakes; demonstrated; depend; describes; distance; educational; electrical; employed; enjoy; excited; exciting; exposed; extent; forcing; fox; generations; hidden; impressive; interaction; involve; jonathan; kitchen; lessons; limitations; michigan; mirror; numerous; obviously; ohio; oversees; pacific; personally; plane; pose; practical; producer; produces; programmed; protecting; reaction; recommended; referred; rejected; relied; represented; screening; searching; serves; serving; sessions; shortly; skin; slowly; somebody; somewhat; sorts; spotify; swift; synthetic; tactics; threatened; tweets; unexpected; urban; violations; visible; wear; wheel; window,LIMITED
prediction,NYT,arxiv,341,14453,4,4,approaches; due; pro; samples,VERY_SMALL
prediction,WSJ,arxiv,135,14453,0,0,,VERY_SMALL
reasoning,NYT,WSJ,302,178,72,72,adapt; aging; applying; approaches; boards; breakthrough; chase; checks; comfortable; commands; contain; crash; currency; databases; dealing; delivering; designing; discover; ease; emotions; experimenting; extend; extended; farmers; finds; finished; flag; follows; fueled; horowitz; hub; improvement; insight; instructions; leaves; legacy; letting; manufacturer; mid; narrow; newly; ok; optimism; phase; pittsburgh; pledged; popularity; portion; predicting; prefer; presentation; priorities; purposes; puts; reflects; relying; roads; rocket; safer; scans; sentiment; short-term; stages; steel; stress; succeed; tone; ultimate; updated; usual; versus; veteran,LIMITED
reasoning,NYT,arxiv,302,9594,2,2,computational; respect,VERY_SMALL
reasoning,WSJ,arxiv,178,9594,2,2,classes; ii,VERY_SMALL
representation,NYT,WSJ,128,39,86,86,accompanied; acted; activism; appearances; arsenal; attitudes; beatles; belong; blade; boat; browsers; brynjolfsson; buzzfeed; cabinet; ces; chairs; connects; convicted; cracking; credibility; crowds; curiosity; daunting; deliberately; dining; diplomats; disputed; distinction; embarrassing; enacted; experimentation; fame; fighters; flooded; forge; fragile; franklin; gebru; generic; grace; groundbreaking; hiding; hudson; hypothetical; inches; insist; janet; leaked; libraries; loaded; logs; mask; middle-class; monster; multinational; oppenheimer; opposing; performs; philippines; philosophical; pill; politician; presenting; promotes; refuse; resist; resisted; rick; rivalry; socially; technically; terminator; thanksgiving; thriving; touching; transit; tumor; undermining; unfairly; unintended; unreliable; walks; watchdog; witness; wolf; worn,LIMITED
representation,NYT,arxiv,128,16196,0,0,,VERY_SMALL
representation,WSJ,arxiv,39,16196,0,0,,VERY_SMALL
risk,NYT,WSJ,2447,1535,15,15,advanced; behind; biggest; coming; computers; energy; growing; include; international; looking; machines; run; uses; venture; wednesday,SMALL
risk,NYT,arxiv,2447,4614,6,6,clear; hard; issues; itself; taking; until,VERY_SMALL
risk,WSJ,arxiv,1535,4614,6,6,added; call; enough; interest; move; video,VERY_SMALL
safety,NYT,WSJ,1947,965,29,29,allow; along; altman; article; beyond; calls; certain; defense; design; designed; developed; focused; founder; however; labor; line; list; live; ll; longer; means; millions; networks; popular; programs; saying; spent; themselves; virtual,SMALL
safety,NYT,arxiv,1947,2214,8,8,black; comes; focused; largest; man; statement; try; virtual,VERY_SMALL
safety,WSJ,arxiv,965,2214,7,7,believe; conference; device; focused; institute; sometimes; virtual,VERY_SMALL
system,NYT,WSJ,6928,3457,11,11,any; around; big; don; industry; information; might; own; part; systems; using,SMALL
system,NYT,arxiv,6928,40903,1,1,information,VERY_SMALL
system,WSJ,arxiv,3457,40903,1,1,information,VERY_SMALL
training,NYT,WSJ,1810,1039,28,28,allow; altman; assistant; autonomous; beyond; certain; close; competition; defense; designed; developed; dollars; features; focused; friday; funding; further; however; june; labor; level; longer; means; medical; networks; raised; tasks; virtual,SMALL
training,NYT,arxiv,1810,37806,1,1,value,VERY_SMALL
training,WSJ,arxiv,1039,37806,1,1,performance,VERY_SMALL
understanding,NYT,WSJ,1157,465,53,53,agreement; allowed; alone; amounts; antitrust; asking; author; basic; beginning; bit; body; brought; class; concern; considered; contract; conversations; decided; editor; effect; effective; entire; era; events; evidence; fire; front; gets; governments; happen; member; michael; minutes; modern; named; nonprofit; numbers; organizations; parents; pentagon; playing; prevent; protect; publicly; seeing; simple; source; stay; trained; trust; ultimately; water; word,LIMITED
understanding,NYT,arxiv,1157,5105,9,9,add; effect; evidence; lines; numbers; physical; resources; strong; typically,VERY_SMALL
understanding,WSJ,arxiv,465,5105,11,11,connected; determine; easily; effect; evidence; gives; increasing; measures; numbers; practice; quantum,SMALL
